addressee,date,Month,DayOfMonth,Year,location
HORATIO F. BROWN,1881,,,1881,letters/wikisource_vol1_ch5_letter11.html
HORATIO F. BROWN,SPRING 1881,SPRING,,1881,letters/wikisource_vol1_ch5_letter12.html
MR. AND MRS. THOMAS STEVENSON,MAY 1 1881,MAY,1,1881,letters/wikisource_vol1_ch5_letter13.html
EDMUND GOSSE,JUNE 6 1881,JUNE,6,1881,letters/wikisource_vol1_ch5_letter14.html
SIDNEY COLVIN,JUNE 1881,JUNE,,1881,letters/wikisource_vol1_ch5_letter15.html
PROFESSOR AENEAS MACKAY,JUNE 21 1881,JUNE,21,1881,letters/wikisource_vol1_ch5_letter16.html
PROFESSOR AENEAS MACKAY,JUNE 1881,JUNE,,1881,letters/wikisource_vol1_ch5_letter17.html
EDMUND GOSSE,JUNE 24 1881,JUNE,24,1881,letters/wikisource_vol1_ch5_letter18.html
EDMUND GOSSE,JULY 1881,JULY,,1881,letters/wikisource_vol1_ch5_letter19.html
THOMAS STEVENSON,DECEMBER 12 1880,DECEMBER,12,1880,letters/wikisource_vol1_ch5_letter2.html
P. G. HAMERTON,JULY 1881,JULY,,1881,letters/wikisource_vol1_ch5_letter20.html
SIDNEY COLVIN,JULY 1881,JULY,,1881,letters/wikisource_vol1_ch5_letter21.html
W. E. HENLEY,JULY 1881,JULY,,1881,letters/wikisource_vol1_ch5_letter22.html
W. E. HENLEY,AUGUST 1881,AUGUST,,1881,letters/wikisource_vol1_ch5_letter23.html
SIDNEY COLVIN,AUGUST 1881,AUGUST,,1881,letters/wikisource_vol1_ch5_letter24.html
DR. ALEXANDER JAPP,AUGUST 1881,AUGUST,,1881,letters/wikisource_vol1_ch5_letter25.html
MRS. SITWELL,AUGUST 1881,AUGUST,,1881,letters/wikisource_vol1_ch5_letter26.html
EDMUND GOSSE,AUGUST 10 1881,AUGUST,10,1881,letters/wikisource_vol1_ch5_letter27.html
,AUGUST 19 1881,AUGUST,19,1881,letters/wikisource_vol1_ch5_letter28.html
EDMUND GOSSE,AUGUST 19 1881,AUGUST,19,1881,letters/wikisource_vol1_ch5_letter29.html
EDMUND GOSSE,DECEMBER 6 1880,DECEMBER,6,1880,letters/wikisource_vol1_ch5_letter3.html
W. E. HENLEY,AUGUST 25 1881,AUGUST,25,1881,letters/wikisource_vol1_ch5_letter30.html
DR. ALEXANDER JAPP,1881,,,1881,letters/wikisource_vol1_ch5_letter31.html
W. E. HENLEY,SEPTEMBER 1881,SEPTEMBER,,1881,letters/wikisource_vol1_ch5_letter32.html
THOMAS STEVENSON,AUTUMN 1881,AUTUMN,,1881,letters/wikisource_vol1_ch5_letter33.html
P. G. HAMERTON,AUTUMN 1881,AUTUMN,,1881,letters/wikisource_vol1_ch5_letter34.html
CHARLES BAXTER,DECEMBER 5 1881,DECEMBER,5,1881,letters/wikisource_vol1_ch5_letter35.html
MRS. THOMAS STEVENSON,DECEMBER 26 1881,DECEMBER,26,1881,letters/wikisource_vol1_ch5_letter36.html
ALISON CUNNINGHAM,FEBRUARY 1882,FEBRUARY,,1882,letters/wikisource_vol1_ch5_letter37.html
CHARLES BAXTER,FEBRUARY 22 1882,FEBRUARY,22,1882,letters/wikisource_vol1_ch5_letter38.html
W. E. HENLEY,FEBRUARY 1882,FEBRUARY,,1882,letters/wikisource_vol1_ch5_letter39.html
EDMUND GOSSE,DECEMBER 19 1880,DECEMBER,19,1880,letters/wikisource_vol1_ch5_letter4.html
W. E. HENLEY,MARCH 1882,MARCH,,1882,letters/wikisource_vol1_ch5_letter40.html
ALEXANDER IRELAND,MARCH 1882,MARCH,,1882,letters/wikisource_vol1_ch5_letter41.html
EDMUND GOSSE,MARCH 23 1882,MARCH,23,1882,letters/wikisource_vol1_ch5_letter42.html
DR. ALEXANDER JAPP,MARCH 1882,MARCH,,1882,letters/wikisource_vol1_ch5_letter43.html
DR. ALEXANDER JAPP,APRIL 1 1882,APRIL,1,1882,letters/wikisource_vol1_ch5_letter44.html
W. E. HENLEY,APRIL 1882,APRIL,,1882,letters/wikisource_vol1_ch5_letter45.html
MRS. THOMAS STEVENSON,APRIL 9 1882,APRIL,9,1882,letters/wikisource_vol1_ch5_letter46.html
EDMUND GOSSE,JUNE 1882,JUNE,,1882,letters/wikisource_vol1_ch5_letter47.html
EDMUND GOSSE,JULY 1882,JULY,,1882,letters/wikisource_vol1_ch5_letter48.html
W. E. HENLEY,JULY 1882,JULY,,1882,letters/wikisource_vol1_ch5_letter49.html
CHARLES WARREN STODDARD,DECEMBER 1880,DECEMBER,,1880,letters/wikisource_vol1_ch5_letter5.html
MR. AND MRS. THOMAS STEVENSON,DECEMBER 21 1880,DECEMBER,21,1880,letters/wikisource_vol1_ch5_letter6.html
SIDNEY COLVIN,DECEMBER 25 1880,DECEMBER,25,1880,letters/wikisource_vol1_ch5_letter7.html
MRS. THOMAS STEVENSON,DECEMBER 26 1880,DECEMBER,26,1880,letters/wikisource_vol1_ch5_letter8.html
SIDNEY COLVIN,SPRING 1881,SPRING,,1881,letters/wikisource_vol1_ch5_letter9.html
THE EDITOR OF THE 'NEW YORK TRIBUNE',OCTOBER 16 1882,OCTOBER,16,1882,letters/wikisource_vol1_ch6_letter1.html
MRS. SITWELL,APRIL 1883,APRIL,,1883,letters/wikisource_vol1_ch6_letter10.html
EDMUND GOSSE,APRIL 1883,APRIL,,1883,letters/wikisource_vol1_ch6_letter11.html
MR. AND MRS. THOMAS STEVENSON,MAY 5 1883,MAY,5,1883,letters/wikisource_vol1_ch6_letter12.html
MR. AND MRS. THOMAS STEVENSON,MAY 8 1883,MAY,8,1883,letters/wikisource_vol1_ch6_letter13.html
EDMUND GOSSE,MAY 20 1883,MAY,20,1883,letters/wikisource_vol1_ch6_letter14.html
EDMUND GOSSE,MAY 21 1883,MAY,21,1883,letters/wikisource_vol1_ch6_letter15.html
W. E. HENLEY,MAY 1883,MAY,,1883,letters/wikisource_vol1_ch6_letter16.html
W. E. HENLEY,MAY 1883,MAY,,1883,letters/wikisource_vol1_ch6_letter17.html
W. E. HENLEY,MAY 1883,MAY,,1883,letters/wikisource_vol1_ch6_letter18.html
W. E. HENLEY,JUNE 1883,JUNE,,1883,letters/wikisource_vol1_ch6_letter19.html
R. A. M. STEVENSON,OCTOBER 1882,OCTOBER,,1882,letters/wikisource_vol1_ch6_letter2.html
W. E. HENLEY,SUMMER 1883,SUMMER,,1883,letters/wikisource_vol1_ch6_letter20.html
ALISON CUNNINGHAM,SUMMER 1883,SUMMER,,1883,letters/wikisource_vol1_ch6_letter21.html
W. E. HENLEY,SUMMER 1883,SUMMER,,1883,letters/wikisource_vol1_ch6_letter22.html
EDMUND GOSSE,SUMMER 1883,SUMMER,,1883,letters/wikisource_vol1_ch6_letter23.html
W. E. HENLEY,SEPTEMBER 19 1883,SEPTEMBER,19,1883,letters/wikisource_vol1_ch6_letter24.html
EDMUND GOSSE,SEPTEMBER 26 1883,SEPTEMBER,26,1883,letters/wikisource_vol1_ch6_letter25.html
SIDNEY COLVIN,OCTOBER 1883,OCTOBER,,1883,letters/wikisource_vol1_ch6_letter26.html
W. H. LOW,OCTOBER 1883,OCTOBER,,1883,letters/wikisource_vol1_ch6_letter27.html
R. A. M. STEVENSON,OCTOBER 1883,OCTOBER,,1883,letters/wikisource_vol1_ch6_letter28.html
THOMAS STEVENSON,OCTOBER 12 1883,OCTOBER,12,1883,letters/wikisource_vol1_ch6_letter29.html
THOMAS STEVENSON,OCTOBER 17 1882,OCTOBER,17,1882,letters/wikisource_vol1_ch6_letter3.html
